"ОКСМ — Общероссийский классификатор стран мира","","","","",""
"Классификатор ОК (МК (ИСО 3166) 004-97) 025-2001 с изменением № 33/2024. Введено 01.08.2024 с правом досрочного применения в правоотношениях, возникших с 29.02.2024. Приказ Росстандарта от 05.06.2024 №700-ст.","","","","",""
"Всего записей — 253.","","","","",""
"Подготовлено сайтом classifikators.ru","","","","",""
"ОКСМ онлайн","","","","",""
"","","","","",""
"№","Код","Краткое название","Полное название","Альфа-2","Альфа-3"
"30","096","БРУНЕЙ-ДАРУССАЛАМ","","BN","BRN"
"31","100","БОЛГАРИЯ","Республика Болгария","BG","BGR"
"32","104","МЬЯНМА","Республика Союза Мьянма","MM","MMR"
"33","108","БУРУНДИ","Республика Бурунди","BI","BDI"
"34","112","БЕЛАРУСЬ","Республика Беларусь","BY","BLR"
"35","116","КАМБОДЖА","Королевство Камбоджа","KH","KHM"
"36","120","КАМЕРУН","Республика Камерун","CM","CMR"
"37","124","КАНАДА","","CA","CAN"
"38","132","КАБО-ВЕРДЕ","Республика Кабо-Верде","CV","CPV"
"39","136","ОСТРОВА КАЙМАН","","KY","CYM"
"40","140","ЦЕНТРАЛЬНО-АФРИКАНСКАЯ РЕСПУБЛИКА","","CF","CAF"
"41","144","ШРИ-ЛАНКА","Демократическая Социалистическая Республика Шри-Ланка","LK","LKA"
"42","148","ЧАД","Республика Чад","TD","TCD"
"43","152","ЧИЛИ","Республика Чили","CL","CHL"
"44","156","КИТАЙ","Китайская Народная Республика","CN","CHN"
"45","158","ТАЙВАНЬ (КИТАЙ)","","TW","TWN"
"46","162","ОСТРОВ РОЖДЕСТВА","","CX","CXR"
"47","166","КОКОСОВЫЕ (КИЛИНГ) ОСТРОВА","","CC","CCK"
"48","170","КОЛУМБИЯ","Республика Колумбия","CO","COL"
"49","174","КОМОРЫ","Союз Коморы","KM","COM"
"50","175","МАЙОТТА","","YT","MYT"
"51","178","КОНГО","Республика Конго","CG","COG"
"52","180","КОНГО, ДЕМОКРАТИЧЕСКАЯ РЕСПУБЛИКА","Демократическая Республика Конго","CD","COD"
"53","184","ОСТРОВА КУКА","","CK","COK"
"54","188","КОСТА-РИКА","Республика Коста-Рика","CR","CRI"
"55","191","ХОРВАТИЯ","Республика Хорватия","HR","HRV"
"56","192","КУБА","Республика Куба","CU","CUB"
"57","196","КИПР","Республика Кипр","CY","CYP"
"58","203","ЧЕХИЯ","Чешская Республика","CZ","CZE"
"59","204","БЕНИН","Республика Бенин","BJ","BEN"
"60","208","ДАНИЯ","Королевство Дания","DK","DNK"
"61","212","ДОМИНИКА","Содружество Доминики","DM","DMA"
"62","214","ДОМИНИКАНСКАЯ РЕСПУБЛИКА","","DO","DOM"
"63","218","ЭКВАДОР","Республика Эквадор","EC","ECU"
"64","222","ЭЛЬ-САЛЬВАДОР","Республика Эль-Сальвадор","SV","SLV"
"65","226","ЭКВАТОРИАЛЬНАЯ ГВИНЕЯ","Республика Экваториальная Гвинея","GQ","GNQ"
"66","231","ЭФИОПИЯ","Федеративная Демократическая Республика Эфиопия","ET","ETH"
"67","232","ЭРИТРЕЯ","Государство Эритрея","ER","ERI"
"68","233","ЭСТОНИЯ","Эстонская Республика","EE","EST"
"69","234","ФАРЕРСКИЕ ОСТРОВА","","FO","FRO"
"70","238","ФОЛКЛЕНДСКИЕ ОСТРОВА (МАЛЬВИНСКИЕ)","","FK","FLK"
"71","239","ЮЖНАЯ ДЖОРДЖИЯ И ЮЖНЫЕ САНДВИЧЕВЫ ОСТРОВА","","GS","SGS"
"72","242","ФИДЖИ","Республика Фиджи","FJ","FJI"
"73","246","ФИНЛЯНДИЯ","Финляндская Республика","FI","FIN"
"74","248","АЛАНДСКИЕ ОСТРОВА","","AX","ALA"
"75","250","ФРАНЦИЯ","Французская Республика","FR","FRA"
"76","254","ФРАНЦУЗСКАЯ ГВИАНА","","GF","GUF"
"77","258","ФРАНЦУЗСКАЯ ПОЛИНЕЗИЯ","","PF","PYF"
"78","260","ФРАНЦУЗСКИЕ ЮЖНЫЕ ТЕРРИТОРИИ","","TF","ATF"
"79","262","ДЖИБУТИ","Республика Джибути","DJ","DJI"
"80","266","ГАБОН","Габонская Республика","GA","GAB"
"81","268","ГРУЗИЯ","","GE","GEO"
"82","270","ГАМБИЯ","Исламская Республика Гамбия","GM","GMB"
"83","275","ПАЛЕСТИНА, ГОСУДАРСТВО","Государство Палестина","PS","PSE"
"84","276","ГЕРМАНИЯ","Федеративная Республика Германия","DE","DEU"
"85","288","ГАНА","Республика Гана","GH","GHA"
"86","292","ГИБРАЛТАР","","GI","GIB"
"87","296","КИРИБАТИ","Республика Кирибати","KI","KIR"
"88","300","ГРЕЦИЯ","Греческая Республика","GR","GRC"
"89","304","ГРЕНЛАНДИЯ","","GL","GRL"
"90","308","ГРЕНАДА","","GD","GRD"
"91","312","ГВАДЕЛУПА","","GP","GLP"
"92","316","ГУАМ","","GU","GUM"
"93","320","ГВАТЕМАЛА","Республика Гватемала","GT","GTM"
"94","324","ГВИНЕЯ","Гвинейская Республика","GN","GIN"
"95","328","ГАЙАНА","Кооперативная Республика Гайана","GY","GUY"
"96","332","ГАИТИ","Республика Гаити","HT","HTI"
"97","334","ОСТРОВ ХЕРД И ОСТРОВА МАКДОНАЛЬД","","HM","HMD"
"98","336","ПАПСКИЙ ПРЕСТОЛ (ГОСУДАРСТВО - ГОРОД ВАТИКАН)","","VA","VAT"
"99","340","ГОНДУРАС","Республика Гондурас","HN","HND"
"100","344","ГОНКОНГ","Специальный административный район Гонконг Китайской Народной Республики","HK","HKG"
"101","348","ВЕНГРИЯ","Венгрия","HU","HUN"
"102","352","ИСЛАНДИЯ","","IS","ISL"
"103","356","ИНДИЯ","Республика Индия","IN","IND"
"104","360","ИНДОНЕЗИЯ","Республика Индонезия","ID","IDN"
"105","364","ИРАН (ИСЛАМСКАЯ РЕСПУБЛИКА)","Исламская Республика Иран","IR","IRN"
"106","368","ИРАК","Республика Ирак","IQ","IRQ"
"107","372","ИРЛАНДИЯ","","IE","IRL"
"108","376","ИЗРАИЛЬ","Государство Израиль","IL","ISR"
"109","380","ИТАЛИЯ","Итальянская Республика","IT","ITA"
"110","384","КОТ Д'ИВУАР","Республика Кот д'Ивуар","CI","CIV"
"111","388","ЯМАЙКА","","JM","JAM"
"112","392","ЯПОНИЯ","","JP","JPN"
"113","398","КАЗАХСТАН","Республика Казахстан","KZ","KAZ"
"114","400","ИОРДАНИЯ","Иорданское Хашимитское Королевство","JO","JOR"
"115","404","КЕНИЯ","Республика Кения","KE","KEN"
"116","408","КОРЕЯ, НАРОДНО-ДЕМОКРАТИЧЕСКАЯ РЕСПУБЛИКА","Корейская Народно-Демократическая Республика","KP","PRK"
"117","410","КОРЕЯ, РЕСПУБЛИКА","Республика Корея","KR","KOR"
"118","414","КУВЕЙТ","Государство Кувейт","KW","KWT"
"119","417","КИРГИЗИЯ","Киргизская Республика","KG","KGZ"
"120","418","ЛАОССКАЯ НАРОДНО-ДЕМОКРАТИЧЕСКАЯ РЕСПУБЛИКА","","LA","LAO"
"121","422","ЛИВАН","Ливанская Республика","LB","LBN"
"122","426","ЛЕСОТО","Королевство Лесото","LS","LSO"
"123","428","ЛАТВИЯ","Латвийская Республика","LV","LVA"
"124","430","ЛИБЕРИЯ","Республика Либерия","LR","LBR"
"125","434","ЛИВИЯ","Государство Ливия","LY","LBY"
"126","438","ЛИХТЕНШТЕЙН","Княжество Лихтенштейн","LI","LIE"
"127","440","ЛИТВА","Литовская Республика","LT","LTU"
"128","442","ЛЮКСЕМБУРГ","Великое Герцогство Люксембург","LU","LUX"
"129","446","МАКАО","Специальный административный район Макао Китайской Народной Республики","MO","MAC"
"130","450","МАДАГАСКАР","Республика Мадагаскар","MG","MDG"
"131","454","МАЛАВИ","Республика Малави","MW","MWI"
"132","458","МАЛАЙЗИЯ","","MY","MYS"
"133","462","МАЛЬДИВЫ","Мальдивская Республика","MV","MDV"
"134","466","МАЛИ","Республика Мали","ML","MLI"
"135","470","МАЛЬТА","Республика Мальта","MT","MLT"
"136","474","МАРТИНИКА","","MQ","MTQ"
"137","478","МАВРИТАНИЯ","Исламская Республика Мавритания","MR","MRT"
"138","480","МАВРИКИЙ","Республика Маврикий","MU","MUS"
"139","484","МЕКСИКА","Мексиканские Соединенные Штаты","MX","MEX"
"140","492","МОНАКО","Княжество Монако","MC","MCO"
"141","496","МОНГОЛИЯ","","MN","MNG"
"142","498","МОЛДОВА, РЕСПУБЛИКА","Республика Молдова","MD","MDA"
"143","499","ЧЕРНОГОРИЯ","","ME","MNE"
"144","500","МОНТСЕРРАТ","","MS","MSR"
"145","504","МАРОККО","Королевство Марокко","MA","MAR"
"146","508","МОЗАМБИК","Республика Мозамбик","MZ","MOZ"
"147","512","ОМАН","Султанат Оман","OM","OMN"
"148","516","НАМИБИЯ","Республика Намибия","NA","NAM"
"149","520","НАУРУ","Республика Науру","NR","NRU"
"150","524","НЕПАЛ","","NP","NPL"
"151","528","НИДЕРЛАНДЫ, КОРОЛЕВСТВО","Королевство Нидерландов","NL","NLD"
"152","531","КЮРАСАО","","CW","CUW"
"153","533","АРУБА","","AW","ABW"
"154","534","СЕН-МАРТЕН (нидерландская часть)","","SX","SXM"
"155","535","БОНЭЙР, СИНТ-ЭСТАТИУС И САБА","","BQ","BES"
"156","540","НОВАЯ КАЛЕДОНИЯ","","NC","NCL"
"157","548","ВАНУАТУ","Республика Вануату","VU","VUT"
"158","554","НОВАЯ ЗЕЛАНДИЯ","","NZ","NZL"
"159","558","НИКАРАГУА","Республика Никарагуа","NI","NIC"
"160","562","НИГЕР","Республика Нигер","NE","NER"
"161","566","НИГЕРИЯ","Федеративная Республика Нигерия","NG","NGA"
"162","570","НИУЭ","Ниуэ","NU","NIU"
"163","574","ОСТРОВ НОРФОЛК","","NF","NFK"
"164","578","НОРВЕГИЯ","Королевство Норвегия","NO","NOR"
"165","580","СЕВЕРНЫЕ МАРИАНСКИЕ ОСТРОВА","Содружество Северных Марианских островов","MP","MNP"
"166","581","МАЛЫЕ ТИХООКЕАНСКИЕ ОТДАЛЕННЫЕ ОСТРОВА СОЕДИНЕННЫХ ШТАТОВ","","UM","UMI"
"167","583","МИКРОНЕЗИЯ, ФЕДЕРАТИВНЫЕ ШТАТЫ","Федеративные штаты Микронезии","FM","FSM"
"168","584","МАРШАЛЛОВЫ ОСТРОВА","Республика Маршалловы Острова","MH","MHL"
"169","585","ПАЛАУ","Республика Палау","PW","PLW"
"170","586","ПАКИСТАН","Исламская Республика Пакистан","PK","PAK"
"171","591","ПАНАМА","Республика Панама","PA","PAN"
"172","598","ПАПУА-НОВАЯ ГВИНЕЯ","Независимое Государство  Папуа Новая Гвинея","PG","PNG"
"173","600","ПАРАГВАЙ","Республика Парагвай","PY","PRY"
"174","604","ПЕРУ","Республика Перу","PE","PER"
"175","608","ФИЛИППИНЫ","Республика Филиппины","PH","PHL"
"176","612","ПИТКЕРН","","PN","PCN"
"177","616","ПОЛЬША","Республика Польша","PL","POL"
"178","620","ПОРТУГАЛИЯ","Португальская Республика","PT","PRT"
"179","624","ГВИНЕЯ-БИСАУ","Республика Гвинея-Бисау","GW","GNB"
"180","626","ТИМОР-ЛЕСТЕ","Демократическая Республика Тимор-Лесте","TL","TLS"
"181","630","ПУЭРТО-РИКО","","PR","PRI"
"182","634","КАТАР","Государство Катар","QA","QAT"
"183","638","РЕЮНЬОН","","RE","REU"
"184","642","РУМЫНИЯ","","RO","ROU"
"185","643","РОССИЯ","Российская Федерация","RU","RUS"
"186","646","РУАНДА","Руандийская Республика","RW","RWA"
"187","652","СЕН-БАРТЕЛЕМИ","","BL","BLM"
"188","654","СВЯТАЯ ЕЛЕНА, ОСТРОВ ВОЗНЕСЕНИЯ, ТРИСТАН-ДА-КУНЬЯ","","SH","SHN"
"189","659","СЕНТ-КИТС И НЕВИС","","KN","KNA"
"190","660","АНГИЛЬЯ","","AI","AIA"
"191","662","СЕНТ-ЛЮСИЯ","","LC","LCA"
"192","663","СЕН-МАРТЕН (французская часть)
","","MF","MAF"
"193","666","СЕН-ПЬЕР И МИКЕЛОН","","PM","SPM"
"194","670","СЕНТ-ВИНСЕНТ И ГРЕНАДИНЫ","","VC","VCT"
"195","674","САН-МАРИНО","Республика Сан-Марино","SM","SMR"
"196","678","САН-ТОМЕ И ПРИНСИПИ","Демократическая Республика Сан-Томе и Принсипи","ST","STP"
"197","682","САУДОВСКАЯ АРАВИЯ","Королевство Саудовская Аравия","SA","SAU"
"198","686","СЕНЕГАЛ","Республика Сенегал","SN","SEN"
"199","688","СЕРБИЯ","Республика Сербия","RS","SRB"
"200","690","СЕЙШЕЛЫ","Республика Сейшелы","SC","SYC"
"201","694","СЬЕРРА-ЛЕОНЕ","Республика Сьерра-Леоне","SL","SLE"
"202","702","СИНГАПУР","Республика Сингапур","SG","SGP"
"203","703","СЛОВАКИЯ","Словацкая Республика","SK","SVK"
"204","704","ВЬЕТНАМ","Социалистическая Республика Вьетнам","VN","VNM"
"205","705","СЛОВЕНИЯ","Республика Словения","SI","SVN"
"206","706","СОМАЛИ","Федеративная Республика Сомали","SO","SOM"
"207","710","ЮЖНАЯ АФРИКА","Южно-Африканская Республика","ZA","ZAF"
"208","716","ЗИМБАБВЕ","Республика Зимбабве","ZW","ZWE"
"209","724","ИСПАНИЯ","Королевство Испания","ES","ESP"
"210","728","ЮЖНЫЙ СУДАН","Республика Южный Судан","SS","SSD"
"211","729","СУДАН","Республика Судан","SD","SDN"
"212","732","ЗАПАДНАЯ САХАРА","","EH","ESH"
"213","740","СУРИНАМ","Республика Суринам","SR","SUR"
"214","744","ШПИЦБЕРГЕН И ЯН МАЙЕН","","SJ","SJM"
"215","748","ЭСВАТИНИ","Королевство Эсватини","SZ","SWZ"
"216","752","ШВЕЦИЯ","Королевство Швеция","SE","SWE"
"217","756","ШВЕЙЦАРИЯ","Швейцарская Конфедерация","CH","CHE"
"218","760","СИРИЙСКАЯ АРАБСКАЯ РЕСПУБЛИКА","","SY","SYR"
"219","762","ТАДЖИКИСТАН","Республика Таджикистан","TJ","TJK"
"220","764","ТАИЛАНД","Королевство Таиланд","TH","THA"
"221","768","ТОГО","Тоголезская Республика","TG","TGO"
"222","772","ТОКЕЛАУ","","TK","TKL"
"223","776","ТОНГА","Королевство Тонга","TO","TON"
"224","780","ТРИНИДАД И ТОБАГО","Республика Тринидад и Тобаго","TT","TTO"
"225","784","ОБЪЕДИНЕННЫЕ АРАБСКИЕ ЭМИРАТЫ","","AE","ARE"
"226","788","ТУНИС","Тунисская Республика","TN","TUN"
"227","792","ТУРЦИЯ","Турецкая Республика","TR","TUR"
"228","795","ТУРКМЕНИСТАН","Туркменистан","TM","TKM"
"229","796","ОСТРОВА ТЕРКС И КАЙКОС","","TC","TCA"
"230","798","ТУВАЛУ","","TV","TUV"
"231","800","УГАНДА","Республика Уганда","UG","UGA"
"232","804","УКРАИНА","","UA","UKR"
"233","807","СЕВЕРНАЯ МАКЕДОНИЯ","Республика Северная Македония","MK","MKD"
"234","818","ЕГИПЕТ","Арабская Республика Египет","EG","EGY"
"235","826","СОЕДИНЕННОЕ КОРОЛЕВСТВО ВЕЛИКОБРИТАНИИ И СЕВЕРНОЙ ИРЛАНДИИ","","GB","GBR"
"236","831","ГЕРНСИ","","GG","GGY"
"237","832","ДЖЕРСИ","","JE","JEY"
"238","833","ОСТРОВ МЭН","","IM","IMN"
"239","834","ТАНЗАНИЯ, ОБЪЕДИНЕННАЯ РЕСПУБЛИКА","Объединенная Республика Танзания","TZ","TZA"
"240","840","СОЕДИНЕННЫЕ ШТАТЫ","Соединенные Штаты Америки","US","USA"
"241","850","ВИРГИНСКИЕ ОСТРОВА (США)","Виргинские острова Соединенных Штатов","VI","VIR"
"242","854","БУРКИНА-ФАСО","","BF","BFA"
"243","858","УРУГВАЙ","Восточная Республика Уругвай","UY","URY"
"244","860","УЗБЕКИСТАН","Республика Узбекистан","UZ","UZB"
"245","862","ВЕНЕСУЭЛА, БОЛИВАРИАНСКАЯ РЕСПУБЛИКА","Боливарианская Республика Венесуэла","VE","VEN"
"246","876","УОЛЛИС И ФУТУНА","","WF","WLF"
"247","882","САМОА","Независимое Государство Самоа","WS","WSM"
"248","887","ЙЕМЕН","Йеменская Республика","YE","YEM"
"249","894","ЗАМБИЯ","Республика Замбия","ZM","ZMB"
"250","895","АБХАЗИЯ","Республика Абхазия","AB","ABH"
"251","896","ЮЖНАЯ ОСЕТИЯ","Республика Южная Осетия","OS","OST"
"252","897","ДНР","Донецкая Народная Республика","DN","DNR"
"253","898","ЛНР","Луганская Народная Республика","LN","LNR"
